opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,series,sales_price,sector,year_established,revenue,employees,office_location,subsidiary_of,manager,regional_office
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,GTX,1096.0,retail,2001.0,718.62,2448.0,United States,,Dustin Brinkmann,Central
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,GTX,550.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,MG,55.0,medical,1992.0,3922.42,6837.0,United States,,Dustin Brinkmann,Central
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0,GTX,550.0,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,Dustin Brinkmann,Central
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0,GTX,1096.0,software,1982.0,4618.0,10083.0,United States,,Dustin Brinkmann,Central
YHKT6YJ7,Moses Frase,GTX Basic,dambase,Won,2016-12-16,2017-03-13,589.0,GTX,550.0,marketing,1995.0,2173.98,2928.0,United States,Inity,Dustin Brinkmann,Central
PN4VJDXY,Moses Frase,GTX Basic,Rundofase,Won,2016-12-17,2017-03-28,557.0,GTX,550.0,technology,1983.0,1008.06,1238.0,United States,,Dustin Brinkmann,Central
62AK8UWX,Moses Frase,GTX Basic,Codehow,Won,2016-12-21,2017-03-22,546.0,GTX,550.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
EZLXL6GL,Moses Frase,MG Special,Isdom,Won,2016-12-23,2017-03-07,58.0,MG,55.0,medical,2002.0,3178.24,4540.0,United States,,Dustin Brinkmann,Central
NMDMM5YJ,Moses Frase,GTX Basic,Dontechi,Won,2016-12-24,2017-03-03,615.0,GTX,550.0,software,1982.0,4618.0,10083.0,United States,,Dustin Brinkmann,Central
91M6FY8S,Moses Frase,GTX Basic,Dontechi,Won,2017-01-02,2017-03-21,573.0,GTX,550.0,software,1982.0,4618.0,10083.0,United States,,Dustin Brinkmann,Central
6389JY2H,Moses Frase,MG Special,Hottechi,Won,2017-01-16,2017-06-02,57.0,MG,55.0,technology,1997.0,8170.38,16499.0,South Korea,,Dustin Brinkmann,Central
904203D6,Moses Frase,MG Special,Dontechi,Won,2017-01-18,2017-03-29,59.0,MG,55.0,software,1982.0,4618.0,10083.0,United States,,Dustin Brinkmann,Central
IMTPZV7J,Moses Frase,MG Advanced,Gogozoom,Won,2017-01-19,2017-05-01,3363.0,MG,3393.0,telecommunications,2007.0,86.68,187.0,United States,Sonron,Dustin Brinkmann,Central
SRFVQ0HG,Moses Frase,GTX Plus Basic,Codehow,Lost,2017-01-20,2017-03-24,0.0,GTX,1096.0,software,1998.0,2714.9,2641.0,United States,Acme Corporation,Dustin Brinkmann,Central
RSZC6BMW,Moses Frase,GTX Basic,Toughzap,Won,2017-01-22,2017-05-07,538.0,GTX,550.0,retail,1995.0,332.43,799.0,United States,,Dustin Brinkmann,Central
HWDRCUYU,Moses Frase,GTX Plus Pro,Betatech,Won,2017-01-30,2017-05-14,5755.0,GTX,5482.0,medical,1986.0,647.18,1185.0,Kenya,,Dustin Brinkmann,Central
6RL97BR9,Moses Frase,MG Special,Inity,Lost,2017-02-05,2017-05-08,0.0,MG,55.0,marketing,1986.0,2403.58,8801.0,United States,,Dustin Brinkmann,Central
L33YUX9V,Moses Frase,GTX Plus Basic,Rangreen,Won,2017-02-06,2017-05-15,1068.0,GTX,1096.0,technology,1987.0,2938.67,8775.0,Panama,,Dustin Brinkmann,Central
